Nume,Functie,Dieta,Personaj
Mariah Fleetham,visual effects production assistant: Take 5 VFX (8 episodes 2022),Vegetarian,Clarvazator
Kathryn Foster,visual effects editor: Ghost VFX Toronto (8 episodes 2022),Vegetarian,Vampir
Ben Funk,lead compositor: Take 5 VFX (8 episodes 2022),Flexitarian,Sirena
Keith Goh,visual effects assistant editor: MPC (8 episodes 2022),Apt,Varcolac
Kari-Lyn Gravel,visual effects associate line producer: Stereo D (8 episodes 2022),Flexitarian,Varcolac
Jon Howard,visual effects producer: Ghost VFX Toronto (6 episodes 2022),Vegetarian,Vampir
Kent Johnson,visual effects producer (8 episodes 2022),Vegetarian,Vampir
Anna Joukova,compositor: Take 5 VFX / visual effects compositor: Take 5 VFX (8 episodes 2022),Vegetarian,Varcolac
Jesse Kawzenuk,on-set visual effects supervisor (8 episodes 2022),Flexitarian,Varcolac
Grant Lee,visual effects supervisor: Stereo D (8 episodes 2022),Vegetarian,Varcolac
Jake Lunt Davies,concept design (8 episodes 2022),Apt,Sirena
Dumitrana Teodora Lupu,visual effects production assistant (8 episodes 2022),Apt,Vampir
Amy Madigan,visual effects production manager: Stereo D (8 episodes 2022),Apt,Om
Yael Majors,visual effects assistant supervisor: Stereo D (3 episodes 2022),Flexitarian,Clarvazator
Mariano Mendoza,assets lead: Mr. X (8 episodes 2022),Flexitarian,Varcolac
Guillermo Molina,lead tools developer (8 episodes 2022),Flexitarian,Om
Skye Morandin,visual effects production manager: Stereo D (8 episodes 2022),Apt,Clarvazator
Tom Nagy,animation supervisor: Mr. X (8 episodes 2022),Vegetarian,Clarvazator
Ken Nielsen,compositing supervisor: Ghost VFX Toronto (8 episodes 2022),Vegetarian,Sirena
Razvan Nineaca,data wrangler (8 episodes 2022),Flexitarian,Vampir
Anthony O'Connell,Render Wrangler (8 episodes 2022),Apt,Om
Catalin Otelea,data wrangler (8 episodes 2022),Flexitarian,Vampir
Matei Ovejan,data wrangler (8 episodes 2022),Vegetarian,Om
Alessandro Pantanella,visual effects supervisor: Ghost VFX Toronto (8 episodes 2022),Apt,Clarvazator
Travis Pond,compositor: Take 5 VFX (8 episodes 2022),Flexitarian,Sirena
Yawar Raja,layout lead: Mr. X (8 episodes 2022),Vegetarian,Vampir
Aditya Sawant,visual effects coordinator: Ghost VFX Toronto (8 episodes 2022),Apt,Clarvazator
Matt Schofield,vfx head of operations (8 episodes 2022),Apt,Om
Ksenia Shutova,compositor: Take 5 VFX (8 episodes 2022),Vegetarian,Vampir
Mark Simone,visual effects producer: Stereo D (8 episodes 2022),Vegetarian,Om
Denis St-Pierre,compositor: Take 5 VFX (8 episodes 2022),Vegetarian,Varcolac
Ryan Terk,Senior Visual Effects Coordinator / visual effects coordinator: MELS (8 episodes 2022),Apt,Vampir
Jason Teske,rigging lead: Mr. X (8 episodes 2022),Vegetarian,Vampir
Tom Turnbull,visual effects supervisor (8 episodes 2022),Apt,Varcolac
Fabi�n Varela,visual effects producer: Ghost VFX Toronto (8 episodes 2022),Apt,Sirena
Kelly Weisz,visual effects studio manager: Take 5 VFX (8 episodes 2022),Apt,Sirena
Angela Zhang,visual effects production manager: Mr. X (8 episodes 2022),Apt,Varcolac
Kayden Anderson,visual effects producer: Rocket Science VFX (7 episodes 2022),Vegetarian,Varcolac
Eddie Englander,visual effects supervisor: Monsters Aliens Robots Zombies (2 episodes 2022),Flexitarian,Sirena
Rashid Khallouk,compositing lead: Mr. X (6 episodes 2022),Vegetarian,Sirena
Timothy Mah,visual effects editor: Rocket Science VFX (7 episodes 2022),Apt,Varcolac
Michael Osuszek,visual effects coordinator: Rocket Science VFX (7 episodes 2022),Flexitarian,Varcolac
Rodrigo Paiva,compositing lead: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Om
Suresh Pandi,lead compositor: Rocket Science VFX / compositor: Rocket Science VFX (7 episodes 2022),Vegetarian,Vampir
Francois Robert,matchmove/layout artist: MELS (3 episodes 2022),Vegetarian,Sirena
Adam Smith,lead compositor: Rocket Science VFX (7 episodes 2022),Apt,Vampir
Sarvesh Amre,visual effects production manager: NetFX Mumbai (6 episodes 2022),Flexitarian,Sirena
Beno�t Bri�re,visual effects supervisor: MELS (6 episodes 2022),Flexitarian,Om
Paul Chambers,assets supervisor: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Sirena
Dipak Gaur,digital compositor: Ghost VFX Toronto (6 episodes 2022),Vegetarian,Om
Taraknath Ghosh,paint artist: Stereo D (5 episodes 2022),Flexitarian,Clarvazator
Baz Lanaris,cg supervisor: MELS (6 episodes 2022),Apt,Clarvazator
Prateek Mishra,paint artist: Stereo D (5 episodes 2022),Flexitarian,Vampir
Erin Nicholson,cg supervisor: Ghost VFX Toronto (6 episodes 2022),Flexitarian,Clarvazator
Bikram Singh,paint artist: Stereo D (5 episodes 2022),Vegetarian,Clarvazator
Khushroo Surveyor,visual effects lighter: Rocket Science VFX (5 episodes 2022),Apt,Sirena
Ramesh Kumar Yanagandhula,paint artist: Stereo D (5 episodes 2022),Apt,Varcolac
Lynx Zuo,digital compositor: Ghost VFX Toronto (6 episodes 2022),Vegetarian,Vampir
Patti Gannon,compositor: Take 5 VFX (4 episodes 2022),Apt,Vampir
Tanya Haddad,visual effects producer: Folks VFX (5 episodes 2022),Flexitarian,Vampir
JoAnna Johnson,compositor: Rocket Science VFX (4 episodes 2022),Apt,Om
Luca Lim Diniz,visual effects artist: MELS (4 episodes 2022),Vegetarian,Clarvazator
Brodie McNeill,visual effects supervisor: Folks VFX (5 episodes 2022),Apt,Clarvazator
Tabata Ortiz,visual effects artist: MELS (4 episodes 2022),Vegetarian,Varcolac
Nishant Patel,visual effects lighter: Rocket Science VFX (1 episode 2022),Vegetarian,Om
Umapathy Rajarathinam,compositor: Rocket Science VFX (4 episodes 2022),Flexitarian,Om
Genesis Rivas,compositor: Take 5 VFX (4 episodes 2022),Apt,Clarvazator
Manish Rohith,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Vampir
Luca Gabriele Rossetti,digital matte painter/environment supervisor: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Salil Thapa,visual effects line producer: NetFX Mumbai (5 episodes 2022),Flexitarian,Vampir
Fran�ois Trudel,visual effects artist: MELS / visual effects supervisor: MELS (4 episodes 2022),Vegetarian,Varcolac
Wesley While,compositor: Take 5 VFX (5 episodes 2022),Vegetarian,Vampir
Kaylie Whitcher,visual effects producer: Folks VFX (5 episodes 2022),Flexitarian,Sirena
Sarah Wormsbecher,visual effects executive producer: Folks VFX (5 episodes 2022),Flexitarian,Sirena
Summer Zong,cg supervisor: Folks VFX (5 episodes 2022),Apt,Clarvazator
Oksana Andrulis,visual effects production manager: Folks VFX / animation coordinator: Folks VFX (3 episodes 2022),Apt,Clarvazator
David Dionne,visual effects artist: MELS (2 episodes 2022),Apt,Clarvazator
Josh George,fx lead: Folks VFX (3 episodes 2022),Flexitarian,Clarvazator
James Takashi Higuchi,lighting supervisor: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Sirena
Christopher Jude,compositor: Rocket Science VFX (3 episodes 2022),Flexitarian,Vampir
Jos� Lasa,compositor: Rocket Science VFX / visual effects lighter: Rocket Science VFX (3 episodes 2022),Apt,Sirena
Marco Lee,compositing supervisor: Folks VFX (3 episodes 2022),Flexitarian,Vampir
Dinaaz Mathur,visual effects production coordinator: NetFX Mumbai (4 episodes 2022),Flexitarian,Varcolac
Ben McDougal,surfacing lead: Monsters Aliens Robots Zombies (4 episodes 2022),Apt,Clarvazator
Sumit Mukherjee,paint supervisor: NetFX Mumbai (4 episodes 2022),Flexitarian,Vampir
Isha Nigam,head of production: NetFX Mumbai (4 episodes 2022),Apt,Om
Ryan Jae Wook Park,layout supervisor: Folks VFX (3 episodes 2022),Vegetarian,Vampir
Gustavo Sanchez-Perez,fx supervisor: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Om
Kyle Sim,head of 2d: Folks VFX (4 episodes 2022),Apt,Vampir
Pankaj Umbarkar,junior paint lead: NetFX Mumbai (4 episodes 2022),Apt,Clarvazator
Sahil Agrahari,junior paint artist: NetFX Mumbai (2 episodes 2022),Flexitarian,Om
Chris Archinet,visual effects artist: MELS (2 episodes 2022),Flexitarian,Vampir
Ajay Kumar Attinti,roto lead: NetFX Mumbai (3 episodes 2022),Vegetarian,Varcolac
Samuel Boisvert,visual effects artist: MELS (2 episodes 2022),Apt,Om
Reine Bourgault,visual effects artist: MELS (2 episodes 2022),Apt,Clarvazator
Aakash Chaudhari,roto artist: NetFX Mumbai (2 episodes 2022),Apt,Sirena
Dave David,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Varcolac
Amod Diwakar,assistant visual effects line producer: Stereo D / visual effects assistant line producer: Stereo D (3 episodes 2022),Vegetarian,Sirena
Nadine Fr�ve,lead visual effects editor: Folks VFX / visual effects editor: Folks VFX (2 episodes 2022),Flexitarian,Varcolac
Mark Goldberg,compositor (2 episodes 2022),Flexitarian,Vampir
Leonardo Andres Grabau Villalba,visual effects artist: MELS (2 episodes 2022),Apt,Om
Jonathan Gr�goire,visual effects artist: MELS (3 episodes 2022),Apt,Sirena
Jeanne Hebert,visual effects artist: MELS (2 episodes 2022),Vegetarian,Clarvazator
Pravin Hodage,2d supervisor: NetFX Mumbai (2 episodes 2022),Flexitarian,Sirena
Cory Humes,animation supervisor: Folks VFX (3 episodes 2022),Apt,Varcolac
Siddarth Jambhulkar,compositor: Rocket Science VFX (2 episodes 2022),Vegetarian,Om
Mukesh Joshi,senior i/o coordinator: NetFX Mumbai (2 episodes 2022),Apt,Clarvazator
Simon Lecavalier,cg supervisor: MELS (2 episodes 2022),Vegetarian,Om
Christophe Longtin,visual effects artist: MELS (2 episodes 2022),Vegetarian,Varcolac
Oleg Memukhin,fx supervisor: Folks VFX (3 episodes 2022),Apt,Vampir
Waseem Mohammed,head of central production: Monsters Aliens Robots Zombies (2 episodes 2022),Flexitarian,Sirena
Dany Richard,visual effects artist: MELS (2 episodes 2022),Apt,Clarvazator
Nisarg Suthar,lighting supervisor: Folks VFX (3 episodes 2022),Flexitarian,Clarvazator
Nitesh Sutrave,compositing supervisor: NetFX Mumbai (3 episodes 2022),Apt,Clarvazator
Sarvesh Talekar,roto artist: NetFX Mumbai (2 episodes 2022),Vegetarian,Varcolac
Himani Tyagi,junior paint artist: NetFX Mumbai (2 episodes 2022),Apt,Vampir
Waseem Ahmad Khan,paint artist: Stereo D (1 episode 2022),Flexitarian,Sirena
Rodrigo Albano,environment artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Don Carlo Alvir,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Om
Leanndro Amorim,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Sirena
Seshadri Anand,tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Vampir
Blake Anderson,visual effects supervisor: VFX Legion (1 episode 2022),Vegetarian,Om
Schuyler Anderson,tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Sirena
Edwin Arismendez,visual effects artist: MELS (2 episodes 2022),Flexitarian,Sirena
Jessica Bayliss,head of production: Monsters Aliens Robots Zombies (2 episodes 2022),Apt,Clarvazator
Sudhakar Bhavanasi,deputy manager: Stereo D (1 episode 2022),Vegetarian,Om
Alan Bisht,compositing artist: NetFX Mumbai (1 episode 2022),Flexitarian,Vampir
William Blanchette,visual effects artist: MELS (1 episode 2022),Flexitarian,Sirena
Jordan Boulais,visual effects artist: MELS (2 episodes 2022),Flexitarian,Clarvazator
J. Alan Bradshaw,head of cg: Monsters Aliens Robots Zombies (2 episodes 2022),Flexitarian,Sirena
Peter Braeley,digital matte painter: Folks VFX (1 episode 2022),Flexitarian,Vampir
Charlotte Breton,visual effects editor: Folks VFX (1 episode 2022),Flexitarian,Om
Alex Bronfman,sales lead: Monsters Aliens Robots Zombies (2 episodes 2022),Apt,Vampir
Jonathan Bronfman,head of studio: Monsters Aliens Robots Zombies (2 episodes 2022),Vegetarian,Clarvazator
Dennis Chan,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Vampir
Hardik Chauhan,senior compositing artist: NetFX Mumbai (1 episode 2022),Vegetarian,Clarvazator
Molly Chen,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Sirena
Sujesh V. Chitty,concept artist: Folks VFX (1 episode 2022),Flexitarian,Sirena
Nolan Conrad,digital compositor: VFX Legion (1 episode 2022),Vegetarian,Clarvazator
Andr�s Couturier,graphic artist: VFX Legion (1 episode 2022),Apt,Clarvazator
Madhu Dasyapu,assistant roto supervisor: Stereo D (1 episode 2022),Flexitarian,Sirena
Rodrigo de Angelis,fx artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Om
Sofia Diaz,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Vampir
Maya Dumont-Deslandes,visual effects studio manager: MELS (1 episode 2022),Vegetarian,Clarvazator
Abdullah Ecirli,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Clarvazator
Manoj Kumar Elangovan,tracking & layout artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Sirena
Michael Enzbrunner,animation lead: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Timothy Fleur,creature artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Varcolac
Adam Fok,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Sirena
Gil Franco,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Vampir
Emily Funk,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Antonio Gallardo,visual effects producer: VFX Legion (1 episode 2022),Flexitarian,Clarvazator
Gregory Galliani,modeling lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Vampir
Igor Garanovschii,matte painter: Rocket Science VFX (1 episode 2022),Flexitarian,Clarvazator
Kunal Ghai,paint artist: Stereo D (1 episode 2022),Vegetarian,Vampir
Rakan Ghresi,fx artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Sirena
Jimmy Gill,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Clarvazator
Yash Gowda,head of 2d: Monsters Aliens Robots Zombies (2 episodes 2022),Flexitarian,Varcolac
Jameer Haider,paint artist: NetFX Mumbai (1 episode 2022),Flexitarian,Clarvazator
Lewis Hawkes,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Om
Jim Hillin,visual effects lighter Ghost VFX Toronto (1 episode 2022),Vegetarian,Clarvazator
Curtis Hsiung,animator: Rocket Science VFX (2 episodes 2022),Apt,Om
Chen Kuang Hsu,tracking & layout artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Varcolac
Salvatore Iamonte,rigging artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Vampir
Pragati Jana,paint artist: Stereo D (1 episode 2022),Flexitarian,Varcolac
Juyong Jeon,visual effects artist (2 episodes 2022),Vegetarian,Vampir
Kenny Jia,digital matte painter lead: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Varcolac
Laszlo Kalbache,asset artist: Rocket Science VFX (1 episode 2022),Vegetarian,Varcolac
Ashraf Karim,senior compositing artist: NetFX Mumbai (1 episode 2022),Flexitarian,Vampir
Sharad Kate,paint artist: Stereo D (1 episode 2022),Apt,Sirena
Min Kim,compositing supervisor: Folks VFX (2 episodes 2022),Flexitarian,Clarvazator
Jamie Knoop,visual effects production assistant: Stereo D (1 episode 2022),Flexitarian,Varcolac
Ashwini Lad,visual effects administrator: Stereo D (1 episode 2022),Apt,Sirena
Nadege Lagueux-Beloin,visual effects artist: MELS (1 episode 2022),Flexitarian,Varcolac
Tukaram Landbale,roto artist: NetFX Mumbai (1 episode 2022),Vegetarian,Om
Dany Lebrasseur,visual effects artist: MELS (1 episode 2022),Vegetarian,Vampir
Kate T.C. Lin,digital compositor: VFX Legion (1 episode 2022),Vegetarian,Sirena
Matthias Lowry,digital compositor: VFX Legion (1 episode 2022),Vegetarian,Clarvazator
Jimmy Lue,visual effects coordinator: Folks VFX (1 episode 2022),Flexitarian,Varcolac
Jim Maxwell,matte painter: Take 5 VFX (2 episodes 2022),Apt,Varcolac
Jay Mehta,paint artist: NetFX Mumbai (1 episode 2022),Vegetarian,Om
Kristine Middlemiss,head of technology: Monsters Aliens Robots Zombies (2 episodes 2022),Apt,Sirena
Ali Mio,visual effects producer: Rocket Science VFX (2 episodes 2022),Flexitarian,Clarvazator
Guto Miranda,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Vampir
Vashishta Mohit,compositing artist: NetFX Mumbai (1 episode 2022),Apt,Varcolac
Lon Molnar,head of studio: Monsters Aliens Robots Zombies (2 episodes 2022),Flexitarian,Varcolac
Jose Ignacio Narv�ez Monroy,compositing lead: Mr. X (2 episodes 2022),Apt,Varcolac
Atyeb Muneer,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Varcolac
Ganesh Ramdas Nalle,senior roto artist: NetFX Mumbai (1 episode 2022),Vegetarian,Vampir
Michael Naphan,layout artist: Rocket Science VFX (1 episode 2022),Vegetarian,Om
Marla Oriol,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Clarvazator
Daksh Pandya,visual effects artist (2 episodes 2022),Flexitarian,Sirena
Niki Patterson,data technician: Stereo D (1 episode 2022),Vegetarian,Sirena
Aravind Pauldurai,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Om
Victor Perez,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Om
Navin Pinto,rigging artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Varcolac
Norman Ran,fx lead: Rocket Science VFX (1 episode 2022),Vegetarian,Om
Parastu Rezaie,lighting lead: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Jean-Christophe Rodier,rigging artist: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Clarvazator
Dmitry Ryabchuk,environment lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Vampir
Maryam Salehi,i/o: MELS (1 episode 2022),Apt,Clarvazator
Rajvinder Sandhu,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Vampir
Eric Sanford,creature lead: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Om
Rohan Sapkal,junior roto artist: NetFX Mumbai (1 episode 2022),Flexitarian,Varcolac
Alexandre Savard-Boisvert,digital compositor (1 episode 2022),Apt,Om
Mark Schreiber,animator (1 episode 2022),Vegetarian,Varcolac
Aryan Sehgal,utility compositor (1 episode 2022),Vegetarian,Clarvazator
Ronak Shah,fx lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Clarvazator
Neelima Sharma,compositor: NetFX Mumbai (1 episode 2022),Flexitarian,Vampir
Vishal Shitole,i/o coordinator: NetFX Mumbai (1 episode 2022),Flexitarian,Clarvazator
Casey Sincic,visual effects producer: Monsters Aliens Robots Zombies (2 episodes 2022),Apt,Om
Lovelesh Singh,compositing artist: NetFX Mumbai (1 episode 2022),Flexitarian,Om
Kalpana Mahapatro Siromani,art director & mattepainting lead (1 episode 2022),Apt,Om
Joseph Soloway,visual effects coordinator: VFX Legion (1 episode 2022),Vegetarian,Clarvazator
Meredith Sproul,show coordinator: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Varcolac
Danny Testani,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Sirena
Ali Thaheem,creature artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Clarvazator
Hyacinthe Thomas,i/o: MELS (1 episode 2022),Flexitarian,Om
Phillip Thomas,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),Flexitarian,Clarvazator
Susana Vasquez,visual effects production coordinator: Take 5 VFX (2 episodes 2022),Flexitarian,Vampir
Marcus Vinicius,i/o: MELS (1 episode 2022),Apt,Om
Louis Vottero,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Varcolac
Tina Vuu,visual effects coordinator: VFX Legion (1 episode 2022),Flexitarian,Clarvazator
Tanja Wax,fx artist: Rocket Science VFX (1 episode 2022),Apt,Om
Christina Wise,head of studio: MELS (1 episode 2022),Vegetarian,Om
Jill Wu,digital matte painter: Monsters Aliens Robots Zombies (1 episode 2022),Vegetarian,Vampir
Alphonso Young,matte painter: Take 5 VFX (2 episodes 2022),Apt,Om
Refo Yovarda,visual effects production assistant: Stereo D (1 episode 2022),Apt,Vampir
Virpalsinh Zala,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),Apt,Vampir
Abin Abraham,assets lead: MPC (uncredited) (8 episodes 2022),Apt,Om
Adrian Bobb,creature artist (uncredited) (8 episodes 2022),Flexitarian,Clarvazator
Eddie Bonin,visual effects executive: Netflix (uncredited) (8 episodes 2022),Flexitarian,Om
R�mi Bruschini,pipeline td (uncredited) (8 episodes 2022),Flexitarian,Vampir
Binod Kumar Das,asset supervisor: MPC (uncredited) (8 episodes 2022),Vegetarian,Om
Tiago Foa,imaging engineer: Mr. X (uncredited) (8 episodes 2022),Vegetarian,Vampir
Jaime Fok,visual effects editorial lead (uncredited) (8 episodes 2022),Vegetarian,Varcolac
J.P. Giamos,head of production: Rocket Science VFX (uncredited) (8 episodes 2022),Vegetarian,Om
Martin Hesselink,Animation Supervisor (uncredited) (8 episodes 2022),Vegetarian,Clarvazator
Rushikesh Chandrashekhar Kamble,3d digital matte painter (uncredited) (8 episodes 2022),Apt,Clarvazator
Daniel May,visual effects art direction (uncredited) (8 episodes 2022),Vegetarian,Sirena
Rachad Meya,lighting supervisor (uncredited) (8 episodes 2022),Vegetarian,Om
Shoupal Panda,texture & lookdev artist (uncredited) (8 episodes 2022),Vegetarian,Clarvazator
Josephin Peichl,visual effects coordinator: Netflix (uncredited) (8 episodes 2022),Flexitarian,Vampir
Rakesh,3d digital matte painter lead (uncredited) (8 episodes 2022),Vegetarian,Clarvazator
Kim Rampaul,visual effects coordinator: Netflix (uncredited) (8 episodes 2022),Vegetarian,Om
Saha Saikat,texturing & lookdev artist (uncredited) (7 episodes 2022),Vegetarian,Vampir
Seema Schere,matte painter: Monsters Aliens Robots Zombies (uncredited) (8 episodes 2022),Vegetarian,Vampir
Surajit Senapati,3d artist (uncredited) (8 episodes 2022),Flexitarian,Varcolac
Satyendra Sharma,compositor: MPC (uncredited) (8 episodes 2022),Flexitarian,Sirena
Prathamesh Ashok Waykole,asset artist: MPC (uncredited) (8 episodes 2022),Flexitarian,Vampir
Dean Wright,visual effects executive: MGM Television (uncredited) (8 episodes 2022),Flexitarian,Vampir
Dylan Botnarenko,digital matte painter: MPC (uncredited) (6 episodes 2022),Vegetarian,Om
Arjun Jasmeet Chawla,digital compositor: MPC (uncredited) (5 episodes 2022),Apt,Clarvazator
Dennis Tae Wook Kim,digital compositor (uncredited) (5 episodes 2022),Apt,Clarvazator
Hoss Ghaith,cg supervisor (uncredited) (3 episodes 2022),Apt,Vampir
Solyi Ha,compositor: Folks VFX (uncredited) (4 episodes 2022),Apt,Om
Caylee Han,compositor: Folks VFX (uncredited) (4 episodes 2022),Apt,Clarvazator
Krista Wettlaufer,digital artist (uncredited) (3 episodes 2022),Apt,Om
Christopher Lee Zammit,concept artist (uncredited) (4 episodes 2022),Apt,Vampir
Felipe Baldo,lighting artist: Folks VFX (uncredited) (3 episodes 2022),Apt,Varcolac
Marc-Antoine Blais,digital compositor (uncredited) (2 episodes 2022),Vegetarian,Varcolac
Adrien Francomme,digital compositor (uncredited) (2 episodes 2022),Vegetarian,Sirena
Eduardo Gon�alves,digital compositor: Monsters Aliens Robots Zombies (uncredited) (2 episodes 2022),Apt,Om
Alexander Greenberg,senior compositor: Monsters Aliens Robots Zombies (uncredited) (2 episodes 2022),Flexitarian,Varcolac
Prashant Jain,3d digital matte painter (uncredited) (3 episodes 2022),Apt,Sirena
Hossein Karamian,compositor: Monsters Aliens Robots Zombies (uncredited) (2 episodes 2022),Apt,Om
Giuseppe Motta,creature supervisor (uncredited) (3 episodes 2022),Flexitarian,Vampir
Chokkarapu Sai Pradeep,visual effects lighting artist (uncredited) (2 episodes 2022),Vegetarian,Clarvazator
Pedro Roloff,digital compositor (uncredited) (2 episodes 2022),Apt,Varcolac
Ilija Sazdovski,layout artist (uncredited) (3 episodes 2022),Apt,Sirena
Jason Schick,digital compositor (uncredited) (2 episodes 2022),Vegetarian,Varcolac
Christa Tazzeo,visual effects executive producer: Rocket Science VFX (uncredited) (3 episodes 2022),Apt,Clarvazator
Sekh Batul Ali,visual effects artist (uncredited) (1 episode 2022),Apt,Sirena
Luca Buonopane,key groom artist: MPC (uncredited) (1 episode 2022),Flexitarian,Sirena
Julian Fadalti,layout artist (uncredited) (1 episode 2022),Apt,Sirena
Nitin Garg,senior lookdev artist: Folks VFX (uncredited) (1 episode 2022),Vegetarian,Vampir
Avinash Kodali,lighting artist (uncredited) (1 episode 2022),Apt,Om
Genevieve Morneau,digital compositor: MELS (uncredited) (1 episode 2022),Vegetarian,Varcolac
Alex Park,matchmove artist: Folks VFX (uncredited) (1 episode 2022),Flexitarian,Clarvazator
Evan Roberts,lighting artist (uncredited) (1 episode 2022),Flexitarian,Sirena
Pavankumar Sagiraju,lighting artist (uncredited) (1 episode 2022),Vegetarian,Vampir
Yulia Segura,compositor: Folks VFX (uncredited) (1 episode 2022),Flexitarian,Clarvazator
Amarjit Singha,3d artist (uncredited) (1 episode 2022),Apt,Sirena
Brett Chan,stunt coordinator (8 episodes 2022),Vegetarian,Om
Ionut Cotruta,stunt rigger (8 episodes 2022),Flexitarian,Clarvazator
Jason Ng,assistant stunt coordinator / cover stunt coordinator (8 episodes 2022),Flexitarian,Om
Jenny Umbhau,stunt double: Jenna Ortega (8 episodes 2022),Flexitarian,Sirena
Fanel Ursu,stunt rigger (8 episodes 2022),Apt,Om
Andrei Vintileanu,stunt rigger (8 episodes 2022),Vegetarian,Clarvazator
Daniel Visan,stunts (8 episodes 2022),Apt,Varcolac
Nailah Johnson,stunt double: Joy Sunday / stunt performer (2 episodes 2022),Vegetarian,Clarvazator
Kinga Kives,stunt performer (3 episodes 2022),Vegetarian,Varcolac
Alexandre Lopoka,stunt double: Tommie Earl Jenkins (2 episodes 2022),Vegetarian,Clarvazator
Milena Brewster,stunt double: Johnna Dias-Watson (1 episode 2022),Flexitarian,Sirena
Maxime Coulon,stunt double: Calum Ross (1 episode 2022),Apt,Sirena
Gabrielle Anne Desy,stunt double: Emma Myers (1 episode 2022),Flexitarian,Vampir
Victoria Goodman,stunt performer (1 episode 2022),Apt,Clarvazator
Daniel Himschoot,stunt double: Percy White (1 episode 2022),Flexitarian,Sirena
Matt Kennedy,stunt performer (1 episode 2022),Apt,Vampir
Kaanchana Kerr,stunt performer (2 episodes 2022),Apt,Vampir
Darlene Pineda,stunt performer (1 episode 2022),Apt,Om
Phedra Syndelle,stunt double: Joy Sunday (1 episode 2022),Vegetarian,Clarvazator
Alexandra Vilcsek,stunt performer (1 episode 2022),Vegetarian,Vampir
Don�t B�nkuti,digital imaging technician: second unit (8 episodes 2022),Vegetarian,Vampir
Vlad Cioplea,still photographer (8 episodes 2022),Flexitarian,Sirena
David Dorohoianu,second photography assistant (8 episodes 2022),Vegetarian,Sirena
Omar Dughouz,"second assistant camera: ""a"" camera (8 episodes 2022)",Flexitarian,Sirena
D�niel Farkas,digital imaging technician (8 episodes 2022),Vegetarian,Varcolac
Robert Fenichiu,electrician / lighting technician (8 episodes 2022),Flexitarian,Vampir
